REPLICATEID,Abudefduf_notatus,Abudefduf_septemfasciatus,Abudefduf_sordidus,Abudefduf_vaigiensis,Acanthuridae,Acanthurus_achilles,Acanthurus_albipectoralis,Acanthurus_blochii,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_leucocheilus,Acanthurus_lineatus,Acanthurus_maculiceps,Acanthurus_mata,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nigroris,Acanthurus_olivaceus,Acanthurus_rackliffei,Acanthurus_thompsoni,Acanthurus_triostegus,Acanthurus_xanthopterus,Aluterus_scriptus,Anampses_caeruleopunctatus,Anampses_melanurus,Anampses_meleagrides,Anthias_sp,Aphareus_furca,Apogon_sp,Apogonidae,Apolemichthys_griffisi,Apolemichthys_xanthopunctatus,Arothron_hispidus,Arothron_meleagris,Aulostomus_chinensis,Balistapus_undulatus,Balistoides_viridescens,Blenniidae,Bodianus_axillaris,Bodianus_loxozonus,Bodianus_prognathus,Bothus_mancus,Caesio_teres,Caesionidae,Calotomus_carolinus,Cantherhines_dumerilii,Cantherhines_pardalis,Canthigaster_amboinensis,Canthigaster_coronata,Canthigaster_solandri,Caracanthus_maculatus,Carangoides_ferdau,Carangoides_orthogrammus,Caranx_ignobilis,Caranx_lugubris,Caranx_melampygus,Caranx_sexfasciatus,Carcharhinus_amblyrhynchos,Carcharhinus_melanopterus,Centropyge_flavissima,Centropyge_loricula,Cephalopholis_argus,Cephalopholis_leopardus,Cephalopholis_miniata,Cephalopholis_sexmaculata,Cephalopholis_spiloparaea,Cephalopholis_urodeta,Chaetodon_auriga,Chaetodon_ephippium,Chaetodon_kleinii,Chaetodon_lunula,Chaetodon_meyeri,Chaetodon_ornatissimus,Chaetodon_quadrimaculatus,Chaetodon_reticulatus,Chaetodon_unimaculatus,Cheilinus_trilobatus,Cheilinus_undulatus,Chlorurus_frontalis,Chlorurus_microrhinos,Chlorurus_spilurus,Chromis_acares,Chromis_agilis,Chromis_margaritifer,Chromis_vanderbilti,Chromis_xanthura,Chrysiptera_cyanea,Cirrhilabrus_exquisitus,Cirrhilabrus_sp,Cirrhitichthys_falco,Cirrhitichthys_oxycephalus,Cirrhitops_hubbardi,Cirrhitus_pinnulatus,Cirripectes_polyzona,Cirripectes_sp,Cirripectes_variolosus,Coris_aygula,Coris_centralis,Coris_gaimard,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_marginatus,Ctenochaetus_sp,Ctenochaetus_striatus,Decapterus_macarellus,Diodon_hystrix,Echidna_nebulosa,Ecsenius_midas,Elagatis_bipinnulata,Enchelycore_pardalis,Epibulus_insidiator,Epinephelus_fasciatus,Epinephelus_hexagonatus,Epinephelus_howlandi,Epinephelus_macrospilos,Epinephelus_melanostigma,Epinephelus_merra,Epinephelus_retouti,Epinephelus_sp,Epinephelus_spilotoceps,Epinephelus_tauvina,Exallias_brevis,Fistularia_commersonii,Forcipiger_flavissimus,Gnathodentex_aureolineatus,Gomphosus_varius,Gracila_albomarginata,Gymnosarda_unicolor,Gymnothorax_breedeni,Gymnothorax_flavimarginatus,Gymnothorax_javanicus,Gymnothorax_meleagris,Gymnothorax_sp,Halichoeres_hortulanus,Halichoeres_margaritaceus,Halichoeres_melasmapomus,Halichoeres_ornatissimus,Halichoeres_sp,Halichoeres_trimaculatus,Hemigymnus_fasciatus,Hemitaurichthys_thompsoni,Hipposcarus_longiceps,Hologymnosus_annulatus,Hologymnosus_doliatus,Kyphosus_cinerascens,Kyphosus_sp,Labridae,Labroides_bicolor,Labroides_dimidiatus,Labroides_rubrolabiatus,Labropsis_xanthonota,Lepidozygus_tapeinosoma,Lethrinus_olivaceus,Lutjanus_bohar,Lutjanus_gibbus,Lutjanus_kasmira,Lutjanus_monostigma,Luzonichthys_whitleyi,Macropharyngodon_meleagris,Melichthys_niger,Melichthys_vidua,Mobula_sp,Monotaxis_grandoculis,Mulloidichthys_mimicus,Mulloidichthys_vanicolensis,Myripristinae,Myripristis_adusta,Myripristis_amaena,Myripristis_berndti,Myripristis_earlei,Myripristis_kuntee,Myripristis_murdjan,Naso_brevirostris,Naso_hexacanthus,Naso_lituratus,Naso_vlamingii,Neocirrhites_armatus,Neoniphon_sp,Novaculichthys_taeniourus,Odonus_niger,Ostorhinchus_angustatus,Ostorhinchus_apogonoides,Ostracion_meleagris,Oxycheilinus_unifasciatus,Paracirrhites_arcatus,Paracirrhites_forsteri,Paracirrhites_hemistictus,Paracirrhites_xanthus,Parupeneus_cyclostomus,Parupeneus_insularis,Parupeneus_multifasciatus,Pempheris_oualensis,Pervagor_janthinosoma,Pervagor_marginalis,Pervagor_sp,Plagiotremus_rhinorhynchos,Plagiotremus_tapeinosoma,Plectroglyphidodon_dickii,Plectroglyphidodon_imparipennis,Plectroglyphidodon_johnstonianus,Plectroglyphidodon_phoenixensis,Pogonoperca_punctata,Pomacanthus_imperator,Pomacentridae,Pomacentrus_coelestis,Priacanthus_sp,Pseudanthias_bartlettorum,Pseudanthias_dispar,Pseudanthias_olivaceus,Pseudanthias_pascalus,Pseudobalistes_flavimarginatus,Pseudocheilinus_evanidus,Pseudocheilinus_hexataenia,Pseudocheilinus_octotaenia,Pseudocheilinus_tetrataenia,Pseudocoris_heteroptera,Pseudodax_moluccanus,Ptereleotris_evides,Ptereleotris_zebra,Pterocaesio_tile,Rhinecanthus_rectangulus,Sargocentron_caudimaculatum,Sargocentron_microstoma,Sargocentron_sp,Sargocentron_spiniferum,Sargocentron_tiere,Scaridae,Scarus_altipinnis,Scarus_festivus,Scarus_forsteni,Scarus_frenatus,Scarus_niger,Scarus_oviceps,Scarus_psittacus,Scarus_rubroviolaceus,Scarus_tricolor,Scomberoides_lysan,Scorpaenopsis_sp,Sebastapistes_cyanostigma,Serranidae,Sphyraena_barracuda,Sphyraena_qenie,Sphyrna_lewini,Stegastes_albifasciatus,Stegastes_aureus,Stegastes_fasciolatus,Stegastes_lividus,Stegastes_nigricans,Stegastes_sp,Stethojulis_bandanensis,Sufflamen_bursa,Sufflamen_chrysopterum,Taeniurops_meyeni,Thalassoma_amblycephalum,Thalassoma_hardwicke,Thalassoma_lutescens,Thalassoma_purpureum,Thalassoma_quinquevittatum,Thalassoma_sp,Thalassoma_trilobatum,Trachinotus_baillonii,Trachinotus_blochii,Triaenodon_obesus,Tylosurus_crocodilus,Valenciennea_strigata,Variola_louti,Xanthichthys_auromarginatus,Xanthichthys_caeruleolineatus,Zanclus_cornutus,Zebrasoma_rostratum,Zebrasoma_scopas
1845952409,0,0,0,0,0,0,0,0,0,0,0,0,1.155339634,0,0.4647611,0,0,0,0,0,0.876625427,0,0,0,2.547540122,0,0,0,2.07962459,0,0,3.254754385,0.934589729,0,0,0,1.877009697,0,0,0,0,0.82095534,0,0,0,0,1.837816466,0,0,0,0,0,0,0,0,8.357357823,9.46550267,0,260.7986464,0,0.297845216,0.200344409,0,0.145699348,20.84468194,0,0,6.383584723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.254123975,0,0,0,0,0,0,0.060524829,0,0,0,0,0,0,0,0,0,0.261790264,0.517726983,0,4.871586868,0,0,0,0,0,0,0,0,0,3.082540255,0,0,0,0,0,10.74500397,0,0,0,0,0,0,0,0,8.007043137,0,10.94507066,0,0,0,0,0,0,0.145636684,0.205316384,0,0,0,0,0,0,0,0,0,0,0,0.010815228,0.00963104,0,4.884146894,0,33.71373403,0,0,0,2.729695431,0,0.99314789,1.217828577,0,0,0,0,0,0,0,5.29503381,3.965783006,0,0,33.33711746,6.227973973,5.505905284,0,0,0,0,10.48824001,0,0,0,0,0,0.545791521,0,0,0,0,0,0,0,0,0,0,0.005535279,0.247781427,0,0.4174328,0,0,2.440375794,0,0,0,8.330183869,0,0,0,0,0,0,0.191123404,0,0,0,0,0,0,0,3.5898617,0,0,0,8.672778111,0,0,0,0,0,0,0,0,7.363275023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.90907647,0,0,13.89776923,0,0.346760028,0,0,0
1845952410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86349217,0,0,0,0,0,2.908318489,0,0,0,0,0,0,0,3.802742107,0,0,1.611233972,0,0,0,0,1.489721836,0,0,0,0,0.82095534,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0969975,0,0,77.52893459,0,0.124438498,0.216536378,2.624713918,0,21.68686391,0,0,4.216124702,0,0,0,0,1.895337089,0,0,0,0,0,0,0,0,0,0,0,0.448214273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261790264,0.411753058,0,0.683122244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.232228362,0,0,0,0,0,0,0,0,4.745377997,0,0,0,0,0,0,0,0,0,0,0,0,0.774129643,1.003272018,0,0,0,0,0,0,0,0.01200153,0.00963104,0,4.395732204,0,6.202992813,0,0,0,2.051341695,0,0,4.044092935,0,4.239095589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311231542,0,0,0,0,0,0,0,0,0,0,0,0.086431267,0,0.53251547,0,0,2.440375794,0,0,0,2.637439323,0,0,0,0,0,0.041770179,0.947581857,0,0,0,0,0,0,0,0,0,0,0,4.071820064,0,0,0,0,4.059193348,0,0,0,0,1.902975893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412529612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.204749078,0,0.806482511,0
1845952411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35638319,0,0,0,0,0,0,0,0,0,0,0,0,0,2.335358996,0,0,0.721400686,0,0,0,0,3.147747479,0,0,0,0,0.209263562,0,0,0,0,0,0,0,0,0,0,0,0,0,7.243444992,0,0,367.6835031,0,0.243693204,0.321702008,0,0,5.528096246,0,0,2.430952874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183957649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928042951,1.903110536,0.259850823,1.904475255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618232813,0,0,0,0,0,0.194098295,0,0.090362486,1.928245729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015702235,0,0,0,16.90011044,0,0,0,0.987683038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.729091769,0,0,0,0,6.433887099,0,0,0,0,0,0,0.654234676,0,0,0,0,0,0,0,0,0,0,0.063147806,0,0.07779247,0,0,1.663047773,0,0,0,3.863902876,0,0,0,0,0,0,0.288313793,0,0,0,0,0,0,0,2.296491741,0,0,0,11.54596028,0,3.552608344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.60025658,0,0,3.987835338,0,0,0,0,0
1845952412,0,0,0,0,0,0,0,0,0,0,0,16.51385975,0,0,0.575661446,0,0,0,0,0,0,0,0,0,2.08705182,0,0,0,1.604281826,0,0,0,0.530009069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82664738,0,0,4.482786241,0,375.432925,0,0,0,0,0,0,0,0,1.069066436,0,0,0,0,0,0,0.563977324,0,0,0,0,0,0,0,0,0,0,1.127105598,0,0,0,0,0,0,0.060751038,0,0,0.93152973,0,0,0.508887181,0.9637716,0,0.261790264,0,0,2.169586384,0,0,0,0,0,0,0,0,0,1.002074476,0,0,0,0,0,0,0,0,0,0,0,0,0,1.280281592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.79230571,0,0,0,0,0.05939521,0,2.373583643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451533923,0,0.075733652,0,0,0,0,1.056431514,0,0,0,0,0,0,0,0.913860801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209177888,0,0,0,0,0,0,0,0,0,0,0,0,0,1.707898259,0,0,0,0,0,0,0,0,0,0.299464657,0.299297181,0,0,0,0,0.412529612,0,0,0.805309865,0,0,0,0.73678864,0,0,0,0,0,0,0,0,0,0,0,0,0
1845952413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.416410075,0,0,0,0,0,0,0,0,0,0,0,0.01906246,0,0,0,0,0,0,0,0,0,2.870157588,0,0,0,0,1.64191068,0,0,0,0,0,0,0,0,0,0,0,0,0,9.884250025,0,0,158.9401041,0,0.287067718,0.156608699,13.27271735,0,0,0,0,1.809117828,0,0,0,0,1.098940366,0,0,0,0,0,0,0,0,0,0,0,2.043973882,0.851169124,0,0,0,0,0,0,0,0,0,0,0,0,0,1.665397325,0,0.517726983,0.261790264,0,8.650694733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038050065,0,0,0,0,0,0,0,3.553235133,0,0,0.405966487,0,0,2.612687546,0,0,0,0,0,0,0,0,0,0.00963104,0,0.912792786,0,0,0,0,0,0,0,0.496573945,2.373583643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442435083,0,0,5.694153118,0,0,0,0,0,0,0,1.983216687,0,0.181747569,0,0,0.910865384,0,0,0,1.624250184,1.180851835,0.181560271,0,0,0,0.065679355,0.285963151,0,0,0,0,0,0,0,0,0,0,0,1.953149462,0,0,0,0,6.505743169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843702485,0,0,0,0,0,0.211215162,0,0,0,0,0,0,0,0,0,0,0,56.60025658,0,0,0,0,0,0,0,0
1845952414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.446185709,0,0,0,0,0,0,0,0,0,0.547060103,0,0,0,2.547540122,0,0,0,1.442801372,0,0,0,0,0,0.123291823,0,0,0,0,0,0,0,1.837816466,0,0,0,0,0,0,0,0,2.212663883,0,0,77.52893459,0,0.446128309,0.026797339,1.469694327,0,0,0,0,1.387810182,0.25856918,0,0,1.098940366,0,0,1.332803104,0,0,0,0,0,0,0,0,0,0.036937528,0.729990672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.072759895,0,0,0,0,0,0,0,0,0,0.707195758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32189713,0,0,0,0,0,0,0,0,0,0,0.077068907,0,0,0,0,0,0,0,0,0,0,0,0.112679124,0.015702235,0,0,0,0,0,0,0,0,0,8.282614514,0,0,0,0,0,0,0,0,0,0,0,0,9.451694991,0,0,0,0,0,0,0,0,0,0,0,0.062035271,0.040869229,0.782194405,0,0,0,0.491632892,0,0,0,0,0,0,0.297910069,0,0.072174908,0,0,0.910865384,0,0,0,5.426829882,0,2.151504948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97874975,0,0,4.059193348,0,0,0,7.363275023,0,0,0,0,0,0,0,0,0,0.804309192,0,0,0,0,0,0,0,0,3.666364005,0,0,0,0.050970325,0,0,0,0,0,0,0,0,0,0,0,0,0
1845952415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354632864,0,0,0,0,0,0,0,2.547540122,0,0,0,0,0,0,0,0,0,0,0,0,0.404412025,0,0,0,0,0,0,0,0,0,0,0,7.469679171,0,42.43220329,0,0,262.9205522,0,0.136110876,0.123487502,5.567038075,0,9.43525485,0,0,0.89266771,0,0,0,0,0.71644517,0,0,0,0,0,0,0,0,0,0.039419496,0,1.027826867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151658309,0,0,0.876661931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244461993,0,0.114150196,2.372688998,0,0,0,0,0,0,0,0,0.16650533,0,0,0,0,0.792708755,0,0,0,0,0,0,0,0.040084292,0,0,0,0,0,0,0,0,0.740762279,0,0,0.774766904,0,0,0,0,0,0,12.5497111,34.48894345,23.65125346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181511558,0,0.184295564,0,0,0.767332242,0,0,0,7.597561834,0,0.015991443,0,0,0,0,0.400522316,0,0,0,0,0,0,0,0,0,0,0,1.059335301,0,0,0,0,4.945470691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335401854,0,0,0,0,0,0,0,0,0,0,0,32.37531835,0,0,0,0,0,0,0,0
1845952417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.066765109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329525419,0,0,0,0,0,0,0,0,0,0,0,0,0,1.280243347,0,0,444.8257251,0,0.136004008,0.026797339,0,0,1.360848523,0,0,0.329015043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.934475282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25150991,0,0,0,0,0,7.378671064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.165143846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.373583643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.993050701,0,0,0,0,0,0,0,0,0.013363096,0,0,0,0,0,0,8.791464408,4.035577476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.059335301,0,0,0,0,4.059193348,0,0,0,0,0,0,0,0,0,0,162.6411443,0,0,0.56741958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1845952418,0,0,0,0,0,0.31081192,0,0,0,0,0,0,0,0,19.21066318,0,0,0,0,0,0,0,0,0,1.282296522,0,0,0,1.604281826,0,0,0,1.619963164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392443091,0,0,0,0,0,0,0,1.280243347,0,0,77.52893459,0,0.157568838,0,10.64800343,0,0,0,0,0.329015043,0,0,0,0,0,0,0,0,0,0.878027991,0,0,0,0,0,0,0,1.170175048,0,0,0,0,0,0.072249206,0,0.209259466,0,0.117360799,0,3.666052623,0,0,0,0,0,0,11.06572347,0,0,0,0,0,0,0,0,0,1.002074476,0,0,0,0,0,0,0,0,0,0,0,0,0,1.733037252,0,0,0,0,0,0,0,0,0,0,0.13005378,0,0,3.386817189,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4293668,0,0,0,0,0.05939521,0,5.424528687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231053869,0,0.025244551,0.370123511,1.087227904,0,0,2.228660348,0,0,0,0,0,0,0,1.063634399,0,0.07779247,0,0,0,0,0,0,0.169588434,0,0.279187388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84850764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870225392,0,0,0,0,0,0,0.436544293,0,1.60524383,0,0,2.784716355,1.138966532,0,0,0,0,43.30881989,0,0,0,0,0,0,1.353292574,0
1845952419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.292662404,0,0,0,0,0,0,0,0,0,2.236963044,0,0,0,0,0,0,0,0.949279445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.868002226,0,0,232.5868038,0,0.347027172,0.133986696,0,0,9.002990693,0,0,3.417869938,0,0,0,0,0.549470183,0,0,0,0,0,0,0,0,0,0,0,1.182584889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.011877501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.573774705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.029634376,0,21.43891525,0,0,0,1.685030678,0,0,9.152835133,0,0,0,0,0,0,0,10.77503911,0,0,0,0,23.54821334,0,0,0,0,0,8.888909675,0,0,0,0,0,0,0,0,0,0,5.069759163,0,0,0,0,0,0,0,0,0.194565448,0,0,6.657345166,0,0,0,4.059268752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.207042781,0,0,0,0,0,0,0,0,9.723084374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335401854,0,0,0,0,0,0,0,0,0,0,0,23.53963941,0,0,0,0,0.840602081,0,0,0
