"","REPLICATEID","X","SITE","SITEVISITID","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","nb_sp","nb_fe","fred","fored","fvuln","TotFish","DIVER","LATITUDE","LONGITUDE","DEPTH","Revised_DEPTH_BIN","OBS_YEAR","SlopeMEAN_400m","Slope_cat","HARD_CORAL","SlopeMEAN_400m_c","DEPTH_c","HARD_CORAL_c","SECTOR","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","NA","Cor","H","MI","Om","Par","Pisc","Pk","SI","TotFish1"
"1","1845952409",10,"JAR-00103","2471",0.646204397,0.863067769,0.628757722,0.224646,0.456741882,0.959864527,0.514974447,0.79863207,-0.360614129,-0.134187654,0.021010909,-0.054288279,55,44,1.25,0.163636364,0.818181818,616.7758403,"BJZ",-0.38161,-160.0115,24,"Deep","2010",29.38356528,"High",31.25,0.786300023292046,2.05553265677255,1.5263798997972,"SOUTH",488.921126767,74.763048767,21.856403358,31.235261425,0,0.665214227,21.856403358,22.096975545,1.837816466,0.005535279,488.921126767,74.763048767,6.629719908,616.7758403
"2","1845952410",1,"JAR-00100","2472",0.726194867,0.821267105,0.96463798,0.26577,0.358610681,0.949242628,0.46392127,0.73195265,-0.282486218,-0.117258314,0.01172634,-0.076156222,42,40,1.05,0.046428571,0.975,186.8562821,"BJZ",-0.37371,-160.0127,21,"Deep","2010",38.45563494,"High",30,1.50794531508374,1.57954676303465,1.42541597591836,"WEST",137.448207441,16.64906708,13.373877299,19.385130282,0,2.514283826,13.373877299,12.81923669,0,0,137.448207441,16.64906708,4.051609766,186.8562821
"3","1845952411",12,"JAR-00103","2471",0.343437581,0.944778539,0.649006557,0.526877,0.363762967,0.986429902,0.570002346,0.909157963,-0.478782173,-0.200419681,0.027789358,-0.105283336,36,32,1.125,0.100694444,0.90625,509.8919891,"PMA",-0.38161,-160.0115,24,"Deep","2010",29.38356528,"High",31.25,0.786300023292046,2.05553265677255,1.5263798997972,"SOUTH",466.910271784,11.469430662,11.19895808,20.313328606,0,0.140940276,11.19895808,17.593841576,0,0,466.910271784,11.469430662,2.578546754,509.8919891
"4","1845952412",62,"JAR-00121","2469",0.427828312,0.964207767,1.418507878,0.680177,0.258290822,0.982246723,0.56812233,0.915602146,-0.475274732,-0.186015866,0.040221622,-0.08595078,33,29,1.137931034,0.117032393,0.965517241,478.1853547,"BJZ",-0.37864,-160.0148,7.5,"Shallow","2010",30.2374219,"High",20,0.854220755030361,-0.562389758785905,0.617704584887646,"WEST",441.210087069,1.932415463,25.132671314,9.910180864,0,1.477838125,25.132671314,7.450799747,0,0,441.210087069,1.932415463,0.981542992,478.1853547
"5","1845952413",26,"JAR-00110","2470",0.560900005,0.909483745,0.647741953,0.555676,0.264585804,0.947651597,0.514668549,0.818800604,-0.377526443,-0.175124376,0.00758371,-0.0971289,40,31,1.290322581,0.181451613,0.806451613,301.4544093,"BJZ",-0.37784,-160.01541,14,"Mid","2010",32.80945757,"High",40,1.05881546176631,0.468913010979546,2.23312736694908,"WEST",240.948880966,7.291172027,28.013327769,25.201028578,0,3.263904622,28.013327769,21.026258572,0,0,240.948880966,7.291172027,0.910865384,301.4544093
"6","1845952414",61,"JAR-00120","2468",0.823793486,0.827439413,1.041975731,0.582225,0.289728565,0.933489813,0.459074709,0.737960144,-0.268390093,-0.050782563,-0.023334528,-0.040897954,40,35,1.142857143,0.110714286,0.885714286,159.6744563,"KSM",-0.37216,-160.0118,5,"Shallow","2010",36.47629004,"High",20,1.35049668633093,-0.959044670234155,0.617704584887646,"WEST",86.676902496,29.869228363,34.197398565,8.930926836,0,1.702888081,34.197398565,1.679045987,1.837816466,0,86.676902496,29.869228363,3.711176302,159.6744563
"7","1845952415",2,"JAR-00100","2472",0.502997644,0.880594856,0.532079593,0.53413,0.328108343,0.979231127,0.508536092,0.848612092,-0.43234643,-0.154635808,0.051524873,-0.082550811,37,34,1.088235294,0.073926868,0.911764706,458.8943684,"PMA",-0.37371,-160.0127,21,"Deep","2010",38.45563494,"High",30,1.50794531508374,1.57954676303465,1.42541597591836,"WEST",366.012942766,57.607558088,7.008156213,28.265711301,0,1.082252292,7.008156213,26.171664774,0,0,366.012942766,57.607558088,1.011794235,458.8943684
"8","1845952417",25,"JAR-00110","2470",0.39863147,0.998575849,1.400333279,0.562058,0.260182509,0.987260792,0.571609681,0.959981714,-0.530489113,-0.13515681,0.048316939,-0.096443593,21,19,1.105263158,0.085213033,0.894736842,654.6188558,"KSM",-0.37784,-160.01541,14,"Mid","2010",32.80945757,"High",40,1.05881546176631,0.468913010979546,2.23312736694908,"WEST",610.436976313,14.761517166,18.608434091,10.811928273,0,0.013363096,18.608434091,10.798565177,0,0,610.436976313,14.761517166,0,654.6188558
"9","1845952418",60,"JAR-00120","2468",0.747112795,0.785654216,0.682222772,0.559892,0.332823885,0.917648641,0.469483363,0.713851925,-0.263168257,-0.125103912,0.002765238,-0.04350277,42,35,1.2,0.142857143,0.857142857,230.5871763,"BJZ",-0.37216,-160.0118,5,"Shallow","2010",36.47629004,"High",20,1.35049668633093,-0.959044670234155,0.617704584887646,"WEST",153.588090817,3.2241947,52.751125591,21.02376522,0,1.141426869,52.751125591,18.031321318,0,0,153.588090817,3.2241947,1.851017033,230.5871763
"10","1845952419",11,"JAR-00103","2471",0.637993481,0.893445755,0.627024624,0.59546,0.328864843,0.96200462,0.515107571,0.845773684,-0.399618422,-0.120404068,0.0238463,-0.071593601,29,29,1,0,1,399.2985793,"KSM",-0.38161,-160.0115,24,"Deep","2010",29.38356528,"High",31.25,0.786300023292046,2.05553265677255,1.5263798997972,"SOUTH",298.664959066,53.009282901,27.66147328,19.96286404,0,0.744035631,27.66147328,12.561483243,0,0,298.664959066,53.009282901,6.657345166,399.2985793
"11","1845952420",64,"JAR-00121","2469",0.718185962,0.891825091,1.337163001,0.434219,0.229625592,0.954199092,0.495748021,0.806912478,-0.352715756,-0.124665759,0.051332116,-0.022633386,25,21,1.19047619,0.144761905,0.904761905,150.6127158,"KSM",-0.37864,-160.0148,7.5,"Shallow","2010",30.2374219,"High",20,0.854220755030361,-0.562389758785905,0.617704584887646,"WEST",121.175353562,0.868383323,20.090318588,8.478660314,0,0.275434244,20.090318588,5.176539771,0,0,121.175353562,0.868383323,3.026686299,150.6127158
"12","1845952421",59,"JAR-00120","2468",0.523381777,0.921388851,1.375875622,0.564667,0.216233239,0.963729337,0.435509865,0.831795495,-0.42660111,-0.102799733,-0.020551621,-0.098351654,27,23,1.173913043,0.122383253,0.826086957,388.3371745,"PMA",-0.37216,-160.0118,5,"Shallow","2010",36.47629004,"High",20,1.35049668633093,-0.959044670234155,0.617704584887646,"WEST",324.567040603,2.430225329,53.383958073,7.955950507,0,0.942831509,53.383958073,7.013118998,0,0,324.567040603,2.430225329,0,388.3371745
"13","1845952422",63,"JAR-00121","2469",0.363976268,1.00380491,1.656333215,0.624775,0.272942127,0.982821306,0.573376085,0.928027274,-0.487442859,-0.193258568,0.02660879,-0.104138391,24,23,1.043478261,0.039855072,0.956521739,354.5826283,"PMA",-0.37864,-160.0148,7.5,"Shallow","2010",30.2374219,"High",20,0.854220755030361,-0.562389758785905,0.617704584887646,"WEST",323.012216545,1.561957149,23.219325763,6.789128832,0,0.694625871,23.219325763,4.257902477,0.985665106,0,323.012216545,1.561957149,0.850935378,354.5826283
"14","1845952423",3,"JAR-00100","2472",0.665089253,0.853319602,1.141302411,0.425878,0.427709995,0.956853349,0.499104457,0.786767227,-0.352614169,-0.128776979,0.014755725,-0.074654117,36,36,1,0,1,194.2387323,"KSM",-0.37371,-160.0127,21,"Deep","2010",38.45563494,"High",30,1.50794531508374,1.57954676303465,1.42541597591836,"WEST",146.564149964,25.63479755,9.195987613,12.843797135,0,0.189377444,9.195987613,11.028358153,0,0,146.564149964,25.63479755,1.626061538,194.2387323
"15","1845952424",4,"JAR-00101","2481",0.663383901,0.880443019,0.595947812,0.413969,0.391555673,0.962834776,0.501906456,0.790691711,-0.348471549,-0.111076815,0.003472253,-0.061102996,49,39,1.256410256,0.162218734,0.794871795,291.7488472,"BJZ",-0.36575,-160.0065,21.5,"Deep","2010",35.35854871,"High",31.25,1.26158502686783,1.6588777453243,1.5263798997972,"WEST",214.467155847,47.277368788,12.327567819,17.676754705,0,3.937340613,12.327567819,11.722260712,0,0,214.467155847,47.277368788,2.01715338,291.7488472
"16","1845952425",7,"JAR-00102","2480",0.771193832,0.829388583,0.985395719,0.573574,0.27233647,0.9474985,0.445991891,0.776325964,-0.305218308,-0.064215614,0.079084344,-0.022604661,24,22,1.090909091,0.075757576,0.909090909,177.8316282,"KSM",-0.37041,-160.0093,20.5,"Deep","2010",34.74396219,"High",35,1.21269723332363,1.500215780745,1.82927167143372,"WEST",111.630024364,32.239202511,11.499203235,22.463198082,0,0.136178959,11.499203235,20.811054916,0,0,111.630024364,32.239202511,1.515964207,177.8316282
"17","1845952426",8,"JAR-00102","2480",0.680199161,0.779894978,0.763183279,0.448143,0.333490546,0.967242119,0.406596281,0.704432485,-0.265172339,-0.096523116,0.120697836,0.037080907,37,33,1.121212121,0.098280098,0.909090909,311.5313428,"PMA",-0.37041,-160.0093,20.5,"Deep","2010",34.74396219,"High",35,1.21269723332363,1.500215780745,1.82927167143372,"WEST",134.909160263,54.361385019,30.796886104,91.463911408,0,0.23125925,30.796886104,89.269624595,0,0,134.909160263,54.361385019,1.963027563,311.5313428
"18","1845952427",5,"JAR-00101","2481",0.583300629,0.585436062,0.644628015,0.478043,0.202674839,0.775182693,0.25775165,0.461667752,0.02938828,-0.014792407,0.000753617,-0.003011652,34,26,1.307692308,0.171945701,0.730769231,56.77891653,"KSM",-0.36575,-160.0065,21.5,"Deep","2010",35.35854871,"High",31.25,1.26158502686783,1.6588777453243,1.5263798997972,"WEST",16.533097991,11.562282992,13.492167364,15.191368185,0,2.941754278,13.492167364,11.0001415,0,0,16.533097991,11.562282992,1.249472407,56.77891653
"19","1845952428",6,"JAR-00101","2481",0.640744867,0.616528975,0.632674234,0.545607,0.272917795,0.882820465,0.303673191,0.519527763,0.001294328,-0.065437935,0.065771213,0.016336874,44,37,1.189189189,0.137592138,0.864864865,73.6449023,"PMA",-0.36575,-160.0065,21.5,"Deep","2010",35.35854871,"High",31.25,1.26158502686783,1.6588777453243,1.5263798997972,"WEST",31.39449921,12.394614309,14.681228973,15.174559803,0,0.843661276,14.681228973,12.275746805,0,0,31.39449921,12.394614309,2.055151722,73.6449023
"20","1845952429",27,"JAR-00111","2482",0.55862079,0.564943798,0.623819984,0.484693,0.160404703,0.782469127,0.292170138,0.474399114,0.085563776,0.034804878,0.003823348,0.015537092,28,24,1.166666667,0.119047619,0.833333333,56.92487397,"KSM",-0.36324,-160.0048,12.5,"Mid","2010",30.79535879,"High",40,0.898602306856474,0.230920064110596,2.23312736694908,"WEST",11.6835997,14.06832688,19.404746145,11.768201245,0,0.619731967,19.404746145,11.148469278,0,0,11.6835997,14.06832688,0,56.92487397
"21","1845952430",9,"JAR-00102","2480",0.709474929,0.862854274,1.116172996,0.372553,0.399912281,0.956400301,0.471492294,0.775781585,-0.320483269,-0.13709408,0.022335347,-0.068947553,44,38,1.157894737,0.118421053,0.868421053,280.192821,"BJZ",-0.37041,-160.0093,20.5,"Deep","2010",34.74396219,"High",35,1.21269723332363,1.500215780745,1.82927167143372,"WEST",226.863583912,22.02278028,15.337240739,15.969216086,0,0.544042633,15.337240739,9.751382158,0.734470688,0,226.863583912,22.02278028,4.939320607,280.192821
"22","1845952431",56,"JAR-00119","2483",0.706740796,0.763913473,0.862125477,0.622906,0.274492484,0.94338621,0.508277932,0.665843941,-0.232564268,-0.089874163,0.023143993,-0.024150691,37,32,1.15625,0.122466216,0.90625,196.1070652,"PMA",-0.36564,-160.0062,5,"Shallow","2010",35.21650984,"High",32.5,1.25028642736094,-0.959044670234155,1.62734382367604,"WEST",103.066762121,52.47788521,31.946652902,8.615764959,0,0.658250781,31.946652902,6.790239016,0,0,103.066762121,52.47788521,1.167275162,196.1070652
"23","1845952432",57,"JAR-00119","2483",0.492869919,0.538261809,0.616061454,0.656081,0.136087414,0.769798708,0.256685545,0.478600225,0.122145048,0.096202565,0.001851775,0.043350834,28,23,1.217391304,0.139751553,0.782608696,56.52402991,"KSM",-0.36564,-160.0062,5,"Shallow","2010",35.21650984,"High",32.5,1.25028642736094,-0.959044670234155,1.62734382367604,"WEST",2.462235357,18.198904656,29.928799215,5.934090677,0,0.658250781,29.928799215,5.184246103,0.091593793,0,2.462235357,18.198904656,0,56.52402991
"24","1845952433",28,"JAR-00111","2482",0.806012356,0.782095961,1.152497259,0.512437,0.328680494,0.910239612,0.419421801,0.677384051,-0.192211506,-0.057277552,0.051300808,0.038542681,37,32,1.15625,0.118243243,0.875,150.6990714,"PMA",-0.36324,-160.0048,12.5,"Mid","2010",30.79535879,"High",40,0.898602306856474,0.230920064110596,2.23312736694908,"WEST",87.019534464,17.374726426,33.082600349,13.222210197,0,0.764908577,33.082600349,11.689969378,0,0,87.019534464,17.374726426,0.767332242,150.6990714
"25","1845952434",22,"JAR-00109","2484",0.597361351,0.599135815,0.696900292,0.501544,0.165308474,0.922987865,0.249178454,0.495028632,0.03684953,-0.06952395,0.030345923,-0.024318554,32,27,1.185185185,0.133101852,0.851851852,64.88830109,"PMA",-0.36926,-160.00839,15,"Mid","2010",35.91055502,"High",47.5,1.30549482579797,0.627574975558846,2.83891091022211,"WEST",29.860072445,14.784419032,12.440304346,7.803505263,0,1.252385321,12.440304346,6.551119942,0,0,29.860072445,14.784419032,0,64.88830109
