TAXONNAME,Size,Diet,Mobility,Activity,Schooling,Position
Abudefduf_notatus,3,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Abudefduf_septemfasciatus,3,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Abudefduf_sordidus,3,Microinvertivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Abudefduf_vaigiensis,3,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Acanthuridae,3,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Acanthurus_achilles,3,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,MedG,Benthic
Acanthurus_albipectoralis,4,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,MedG,Bentho-Pelagic
Acanthurus_blochii,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Acanthurus_dussumieri,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Acanthurus_guttatus,3,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,LargeG,Benthic
Acanthurus_leucocheilus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Acanthurus_lineatus,4,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Acanthurus_maculiceps,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Acanthurus_mata,5,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,LargeG,Bentho-Pelagic
Acanthurus_nigricans,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Acanthurus_nigricauda,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Acanthurus_nigrofuscus,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Acanthurus_nigroris,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Acanthurus_olivaceus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,MedG,Benthic
Acanthurus_rackliffei,3,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,MedG,Benthic
Acanthurus_thompsoni,3,Planktivores,Mobile across reefs,Diurnal,MedG,Bentho-Pelagic
Acanthurus_triostegus,3,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,LargeG,Benthic
Acanthurus_xanthopterus,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,MedG,Benthic
Aluterus_scriptus,6,Corallivores,Mobile across reefs,Both diurnal and nocturnal,Solitary,Bentho-Pelagic
Anampses_caeruleopunctatus,4,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Anampses_melanurus,2,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Anampses_meleagrides,3,Microinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Anthias_sp,3,Crustacivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Aphareus_furca,5,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Bentho-Pelagic
Apogon_sp,2,Microinvertivores,Sedentary,Nocturnal,SmallG,Bentho-Pelagic
Apogonidae,2,Microinvertivores,Sedentary,Nocturnal,SmallG,Bentho-Pelagic
Apolemichthys_griffisi,4,Sessile invertivores,Sedentary,Diurnal,SmallG,Benthic
Apolemichthys_xanthopunctatus,3,Sessile invertivores,Sedentary,Diurnal,SmallG,Benthic
Arothron_hispidus,5,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Arothron_meleagris,5,Corallivores,Mobile within reef,Diurnal,Solitary,Benthic
Aulostomus_chinensis,5,Piscivores,Mobile within reef,Diurnal,Solitary,Bentho-Pelagic
Balistapus_undulatus,4,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Balistoides_viridescens,5,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Blenniidae,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Bodianus_axillaris,3,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Bodianus_loxozonus,4,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Bodianus_prognathus,3,Microinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Bothus_mancus,4,Piscivores,Mobile within reef,Both diurnal and nocturnal,Solitary,Benthic
Caesio_teres,4,Planktivores,Mobile across reefs,Diurnal,LargeG,Pelagic
Caesionidae,4,Planktivores,Mobile across reefs,Diurnal,LargeG,Pelagic
Calotomus_carolinus,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,Solitary,Benthic
Cantherhines_dumerilii,4,Corallivores,Mobile within reef,Diurnal,Pairing,Benthic
Cantherhines_pardalis,3,Sessile invertivores,Mobile within reef,Diurnal,Solitary,Benthic
Canthigaster_amboinensis,3,Sessile invertivores,Sedentary,Diurnal,Solitary,Benthic
Canthigaster_coronata,2,Sessile invertivores,Sedentary,Diurnal,Solitary,Benthic
Canthigaster_solandri,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Caracanthus_maculatus,1,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Carangoides_ferdau,5,Piscivores,Mobile across reefs,Both diurnal and nocturnal,MedG,Pelagic
Carangoides_orthogrammus,5,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Caranx_ignobilis,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,Solitary,Pelagic
Caranx_lugubris,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Caranx_melampygus,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Caranx_sexfasciatus,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,MedG,Pelagic
Carcharhinus_amblyrhynchos,6,Piscivores,Mobile across reefs,Nocturnal,Solitary,Pelagic
Carcharhinus_melanopterus,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,Solitary,Pelagic
Centropyge_flavissima,2,Sessile invertivores,Sedentary,Diurnal,Pairing,Benthic
Centropyge_loricula,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,Pairing,Benthic
Cephalopholis_argus,5,Piscivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_leopardus,3,Crustacivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_miniata,4,Piscivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_sexmaculata,5,Piscivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_spiloparaea,4,Piscivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
